passage,response,atomic_units,hallucinated_atomic_units
'the land before time dvd the film explores issues of prejudice between the different species and the hardships they endure in their journey as they are guided by the spirit of littlefoot s mother.' Provide only the simplified text as the response.,"The Land Before Time DVD is about different dinosaur species facing challenges and discrimination during their adventure, guided by Littlefoot's mother's spirit."," The Land Before Time DVD is a movie. | True |
 The movie features different dinosaur species. | True |
 The dinosaurs face challenges and discrimination during their adventure. | True |
 Littlefoot's mother's spirit guides them on their journey. | True",
'to commemorate his death josquin des prez composed the motet la d ploration de la mort de johannes ockeghem a setting of the poem nymphes des bois by jean molinet.' Provide only the simplified text as the response.,"To honor Johannes Ockeghem's death, Josquin des Prez wrote the motet ""La déploration de la mort de Johannes Ockeghem,"" which is based on the poem ""Nymphes des bois"" by Jean Molinet."," Johannes Ockeghem passed away. | True |
 Josquin des Prez wrote a motet called ""La déploration de la mort de Johannes Ockeghem"" in honor of Ockeghem's death. | True |
 The motet is based on the poem ""Nymphes des bois"" by Jean Molinet. | True",
'he suffered serious head injuries and was sidelined for the rest of the season replaced by andrea de cesaris and a returning lehto who had been replaced at benetton after injury complications.' Provide only the simplified text as the response.,"He had severe head injuries and missed the rest of the season. Andrea de Cesaris and a recovered Lehto, who had lost his spot at Benetton due to injury issues, replaced him."," The person mentioned in the passage had severe head injuries. | True |
 As a result of the injuries, he missed the rest of the season. | True |
 Andrea de Cesaris and a recovered Lehto replaced him. | True |
 Lehto had lost his spot at Benetton due to injury issues before replacing the injured person. | True",
'however writing in the english antiquarian thomas hearne claims wright was born in shoe lane london and after an adolescent conversion to roman catholicism was taken to scotland by a priest.' Provide only the simplified text as the response.,"Thomas Hearne, an English antiquarian, wrote that Wright was born in Shoe Lane, London. After becoming a Roman Catholic as a teenager, he was taken to Scotland by a priest."," Thomas Hearne was an English antiquarian. | True |
 Thomas Hearne wrote that Wright was born in Shoe Lane, London. | True |
 Wright became a Roman Catholic as a teenager. | True |
 Wright was taken to Scotland by a priest. | True",
'mesnil clinchamps is a commune in the calvados department in the basse normandie region in northwestern france.' Provide only the simplified text as the response.,Mesnil-Clinchamps is a small town in the Calvados area of the Basse-Normandie region in northwest France.," Mesnil-Clinchamps is a small town. | True |
 It is located in the Calvados area. | True |
 The town is situated in the Basse-Normandie region. | True |
 Mesnil-Clinchamps is in northwest France. | True",
'a city gate is a gate which is or was set within a city wall.' Provide only the simplified text as the response.,A city gate is a gate located in a city wall.," A city gate is a gate. | True |
 The gate is located in a city wall. | True",
'lilian thuram lrb born ruddy lilian thuram ulien on january in pointe pitre rrb is a retired french professional football defender and is the most capped player in the history of the france national team.' Provide only the simplified text as the response.,"Lilian Thuram, born Ruddy Lilian Thuram-Ulien on January 1 in Pointe-à-Pitre, is a retired French professional football defender. He has played more games for the France national team than anyone else."," Lilian Thuram was born Ruddy Lilian Thuram-Ulien on January 1 in Pointe-à-Pitre. | False |
 Lilian Thuram is a retired French professional football defender. | True |
 He has played more games for the France national team than anyone else. | True", Lilian Thuram was born Ruddy Lilian Thuram-Ulien on January 1 in Pointe-à-Pitre.
'it was originally scored for a chamber group of flute piccolo clarinet lrb b flat and c rrb two pianos glass armonica xylophone two violins viola cello and double bass but is usually performed today with a full orchestra of strings and with a glockenspiel substituting for the rare glass armonica.' Provide only the simplified text as the response.,"The piece was first written for a small group including flute, piccolo, clarinet, two pianos, glass armonica, xylophone, two violins, viola, cello, and double bass. Now, it is often played by a full string orchestra with a glockenspiel instead of the rare glass armonica."," The piece was first written for a small group including flute, piccolo, clarinet, two pianos, glass armonica, xylophone, two violins, viola, cello, and double bass. | True |
 The piece is often played by a full string orchestra. | True |
 The full string orchestra uses a glockenspiel instead of the rare glass armonica in the original small group setting. | True",
'miles part of the national forest and borders on greater manchester to the north west west yorkshire to the north south yorkshire to the north east nottinghamshire to the east leicestershire to the south east staffordshire to the west and south west and cheshire also to the west.' Provide only the simplified text as the response.,"The forest is near several areas: to the northwest is Greater Manchester, to the north is West Yorkshire, to the northeast is South Yorkshire, to the east is Nottinghamshire, to the southeast is Leicestershire, to the west and southwest is Staffordshire, and also to the west is Cheshire."," The forest is near Greater Manchester to the northwest. | True |
 The forest is near West Yorkshire to the north. | True |
 The forest is near South Yorkshire to the northeast. | True |
 The forest is near Nottinghamshire to the east. | True |
 The forest is near Leicestershire to the southeast. | True |
 The forest is near Staffordshire to the west and southwest. | True |
 The forest is near Cheshire to the west. | True",
'bob cobb real name of the maestro in the nbc sitcom seinfeld' Provide only the simplified text as the response.,Bob Cobb is the real name of the conductor character in the Seinfeld TV show on NBC.," The conductor character in the Seinfeld TV show on NBC is named Bob Cobb. | False |
 Bob Cobb is the real name of the conductor character in the Seinfeld TV show on NBC. | False"," The conductor character in the Seinfeld TV show on NBC is named Bob Cobb. |
 Bob Cobb is the real name of the conductor character in the Seinfeld TV show on NBC."
