prompt,response,atoms,hallucinated atoms
Tell me a bio of Suthida,"Sure, here's a brief bio of Suthida:

Suthida is a Thai actress and model who has gained popularity in recent years for her roles in various TV dramas and movies. She was born on March 15, 1995, in Bangkok, Thailand, and began her acting career in 2015.

Suthida's breakout role came in 2017 when she star","| Suthida is a Thai.	True |
| Suthida is an actress.	False |
| Suthida is a model.	False |
| Suthida has gained popularity in recent years.	True |
| Suthida has gained popularity for her roles in various TV dramas.	False |
| Suthida has gained popularity for her roles in movies.	False |
| She was born on March 15, 1995.	False |
| She was born in Bangkok, Thailand.	False |
| She began her acting career in 2015.	False |
","| Suthida is an actress. |
| Suthida is a model. |
| Suthida has gained popularity for her roles in various TV dramas. |
| Suthida has gained popularity for her roles in movies. |
| She was born on March 15, 1995. |
| She was born in Bangkok, Thailand. |
| She began her acting career in 2015. |
"
Tell me a bio of Miguel Ángel Félix Gallardo,"Miguel Ángel Félix Gallardo, also known as ""El Padrino"" (The Godfather), was a Mexican drug lord and the founder of the Sinaloa Cartel, one of the most powerful drug trafficking organizations in the world. Born on August 8, 1946, in Badiraguato, Sinaloa, Mexico, Gallardo began his career in the drug trade in the 1970s, working for the","| Miguel Ángel Félix Gallardo was a Mexican.	True |
| Miguel Ángel Félix Gallardo was a drug lord.	True |
| Miguel Ángel Félix Gallardo was also known as ""El Padrino"" (The Godfather).	True |
| Miguel Ángel Félix Gallardo was the founder of the Sinaloa Cartel.	False |
| The Sinaloa Cartel is one of the most powerful drug trafficking organizations in the world.	True |
| He was born on August 8, 1946.	False |
| He was born in Badiraguato, Sinaloa, Mexico.	False |
| Gallardo began his career in the drug trade.	True |
| Gallardo began his career in the 1970s.	True |
| He began working for someone in the drug trade.	True |
","| Miguel Ángel Félix Gallardo was the founder of the Sinaloa Cartel. |
| He was born on August 8, 1946. |
| He was born in Badiraguato, Sinaloa, Mexico. |
"
Tell me a bio of Iggy Azalea,"Sure thing! Iggy Azalea is an Australian rapper, singer, songwriter, and model. She was born Amethyst Amelia Kelly on June 7, 1990, in Sydney, Australia. She rose to fame in 2012 with her debut single ""Work,"" which gained attention from the hip-hop community and led to her signing with Mercury Records.

Iggy's music style is known for blending hip","| Iggy Azalea is Australian.	True |
| Iggy Azalea is a rapper.	True |
| Iggy Azalea is a singer.	False |
| Iggy Azalea is a songwriter.	False |
| Iggy Azalea is a model.	True |
| She was born Amethyst Amelia Kelly.	True |
| She was born on June 7, 1990.	True |
| She was born in Sydney, Australia.	True |
| She rose to fame in 2012.	True |
| She rose to fame with her debut single ""Work.""	True |
| Her debut single ""Work"" gained attention from the hip-hop community.	True |
| Her debut single ""Work"" led to her signing with Mercury Records.	True |
","| Iggy Azalea is a singer. |
| Iggy Azalea is a songwriter. |
"
Tell me a bio of Fernando da Costa Novaes,"Sure! Fernando da Costa Novaes is a Brazilian mathematician who has made significant contributions to the field of algebraic geometry and related areas. He was born in 1963 in Rio de Janeiro, Brazil, and received his PhD in mathematics from the University of California, Berkeley in 1989.

After completing his PhD, Novaes held positions at several institutions, including the University of California, Los Angeles (UCLA), the University of Michigan","| He was born in 1963.	False |
| He was born in Rio de Janeiro, Brazil.	False |
| He received his PhD in mathematics.	False |
| He received his PhD from the University of California, Berkeley.	False |
| He received his PhD from the University of California, Berkeley in 1989.	False |
| Novaes completed his PhD.	True |
| Novaes held positions at several institutions.	True |
| One of the institutions Novaes held a position at was the University of California, Los Angeles (UCLA).	False |
| Another institution Novaes held a position at was the University of Michigan.	False |
","| He was born in 1963. |
| He was born in Rio de Janeiro, Brazil. |
| He received his PhD in mathematics. |
| He received his PhD from the University of California, Berkeley. |
| He received his PhD from the University of California, Berkeley in 1989. |
| One of the institutions Novaes held a position at was the University of California, Los Angeles (UCLA). |
| Another institution Novaes held a position at was the University of Michigan. |
"
Tell me a bio of Jan Zamoyski,"Sure, here's a brief bio of Jan Zamoyski:

Jan Zamoyski (1542-1605) was a Polish nobleman, statesman, and military leader who played a significant role in the political and military history of Poland and Lithuania during the 16th and early 17th centuries. He was a member of the powerful Zamoyski family, which was one of the most influential noble families","| Jan Zamoyski lived from 1542 to 1605.	True |
| Jan Zamoyski was a Polish nobleman.	True |
| Jan Zamoyski was a statesman.	True |
| Jan Zamoyski was a military leader.	True |
| Jan Zamoyski played a significant role in the political history of Poland.	True |
| Jan Zamoyski played a significant role in the military history of Poland.	True |
| Jan Zamoyski played a significant role in the political history of Lithuania.	False |
| Jan Zamoyski played a significant role in the military history of Lithuania.	False |
| Jan Zamoyski lived during the 16th and early 17th centuries.	True |
| He was a member of the Zamoyski family.	True |
| The Zamoyski family was powerful.	True |
| The Zamoyski family was influential.	True |
| The Zamoyski family was one of the most influential noble families.	True |
","| Jan Zamoyski played a significant role in the political history of Lithuania. |
| Jan Zamoyski played a significant role in the military history of Lithuania. |
"
Tell me a bio of Radhika Apte,"Sure, here's a brief bio of Radhika Apte:

Radhika Apte is an Indian actress who has made a name for herself in the film industry with her powerful performances. She was born on October 7, 1985, in Pune, India. She began her acting career in the early 2000s, starting with small roles in Marathi and Hindi films.

Apte gained widespread recognition","| Radhika Apte is an Indian actress.	True |
| Radhika Apte has made a name for herself in the film industry.	True |
| Radhika Apte is known for her powerful performances.	True |
| She was born on October 7, 1985.	False |
| She was born in Pune.	False |
| She was born in India.	True |
| She began her acting career.	True |
| She began her acting career in the early 2000s.	False |
| She started with small roles.	True |
| She started with small roles in Marathi films.	True |
| She started with small roles in Hindi films.	True |
| Apte gained recognition.	True |
| Apte gained widespread recognition.	True |
","| She was born on October 7, 1985. |
| She was born in Pune. |
| She began her acting career in the early 2000s. |
"
Tell me a bio of David Galloway (writer)," David Galloway is a Scottish writer and broadcaster who was born in 1954 in Glasgow. He studied at the University of Glasgow and later at the University of Oxford, where he earned a doctorate in English literature.

Galloway began his writing career as a literary critic and journalist, contributing to publications such as The Guardian, The Independent, and The Times Literary Supplement. He has also written several books on literature and culture, including ""The","| David Galloway is a Scottish writer.	False |
| David Galloway is a Scottish broadcaster.	False |
| David Galloway was born in 1954.	False |
| David Galloway was born in Glasgow.	False |
| He studied at the University of Glasgow.	False |
| He studied at the University of Oxford.	False |
| He earned a doctorate in English literature.	True |
| He earned a doctorate in English literature from the University of Oxford.	True |
| Galloway began his writing career.	True |
| Galloway began his writing career as a literary critic.	False |
| Galloway began his writing career as a journalist.	True |
| Galloway contributed to The Guardian.	False |
| Galloway contributed to The Independent.	False |
| Galloway contributed to The Times Literary Supplement.	False |
","| David Galloway is a Scottish writer. |
| David Galloway is a Scottish broadcaster. |
| David Galloway was born in 1954. |
| David Galloway was born in Glasgow. |
| He studied at the University of Glasgow. |
| He studied at the University of Oxford. |
| Galloway began his writing career as a literary critic. |
| Galloway contributed to The Guardian. |
| Galloway contributed to The Independent. |
| Galloway contributed to The Times Literary Supplement. |
"
Tell me a bio of Cheyenne Brando,"Cheyenne Brando was born on June 12, 1970, in Los Angeles, California. She is an American actress and model, best known for her role as Rachel Olmstead in the television series ""The Young and the Restless.""

Brando began her career as a model, appearing in numerous fashion campaigns and magazines. She made her acting debut in the early 1990s, with small roles in several television","| Cheyenne Brando was born on June 12, 1970.	False |
| Cheyenne Brando was born in Los Angeles.	False |
| Cheyenne Brando was born in California.	False |
| She is an American actress.	False |
| She is an American model.	False |
| She is best known for her role as Rachel Olmstead.	False |
| The role is in the television series ""The Young and the Restless."".	False |
| Brando began her career.	True |
| Brando began her career as a model.	True |
| Brando appeared in numerous fashion campaigns.	True |
| Brando appeared in magazines.	True |
| She made her acting debut in the early 1990s.	False |
| She made her acting debut with small roles.	False |
| She made her acting debut in television.	False |
| She made small roles in several television shows.	False |
","| Cheyenne Brando was born on June 12, 1970. |
| Cheyenne Brando was born in Los Angeles. |
| Cheyenne Brando was born in California. |
| She is an American actress. |
| She is an American model. |
| She is best known for her role as Rachel Olmstead. |
| The role is in the television series ""The Young and the Restless."". |
| She made her acting debut in the early 1990s. |
| She made her acting debut with small roles. |
| She made her acting debut in television. |
| She made small roles in several television shows. |
"
Tell me a bio of Mihai Eminescu,"Sure, here's a brief bio of Mihai Eminescu:

Mihai Eminescu (1850-1889) was a Romanian poet, journalist, and literary critic. He is widely regarded as the most important Romanian poet of the 19th century and one of the greatest Romanian writers of all time.

Eminescu was born in the village of Botoșani, in the eastern part of","| Mihai Eminescu lived from 1850 to 1889.	True |
| Mihai Eminescu was Romanian.	True |
| Mihai Eminescu was a poet.	True |
| Mihai Eminescu was a journalist.	True |
| Mihai Eminescu was a literary critic.	False |
| He is widely regarded.	True |
| He is regarded as the most important Romanian poet of the 19th century.	True |
| He is regarded as one of the greatest Romanian writers of all time.	True |
| Eminescu was born in the village of Botoșani.	False |
| Botoșani is in the eastern part of a location.	True |
","| Mihai Eminescu was a literary critic. |
| Eminescu was born in the village of Botoșani. |
"
Tell me a bio of John Atkinson Grimshaw,"Sure, here's a brief bio of John Atkinson Grimshaw:

John Atkinson Grimshaw (1836-1893) was a British painter known for his landscapes and townscapes, particularly those of the North of England. He was born in Leeds, Yorkshire, and began his artistic career as a portrait painter. However, he soon turned his attention to landscapes, and his work was character","| John Atkinson Grimshaw was born in 1836 and died in 1893.	True |
| John Atkinson Grimshaw was a British painter.	True |
| John Atkinson Grimshaw was known for his landscapes and townscapes.	True |
| John Atkinson Grimshaw's landscapes and townscapes often depicted the North of England.	True |
| He was born in Leeds, Yorkshire.	True |
| He began his artistic career.	True |
| He began his artistic career as a portrait painter.	False |
| He turned his attention to landscapes.	True |
| He soon turned his attention to landscapes.	True |
| His work was characterized by a focus on landscapes.	True |
","| He began his artistic career as a portrait painter. |
"
