prompt,response,atoms,hallucinated atoms
Tell me a bio of Suthida," Suthida Taviyan is the current Queen consort of Thailand. She was born on 3 June 1978 in Bangkok, Thailand. Her parents are Lt. Gen. Wichit Taviyan and Khunying Kanitha. She has two siblings, brother Thanin and sister Thipakorn. In 1999, she graduated with a bachelor's degree in business administration from Ramkhamhaeng University. After graduation, she worked as a manager at a family","| Suthida Taviyan is a person.	False |
| Suthida Taviyan is the current Queen consort.	False |
| Suthida Taviyan is the current Queen consort of Thailand.	False |
| She was born on 3 June 1978.	True |
| She was born in Bangkok.	False |
| She was born in Thailand.	True |
| Her parents are Lt. Gen. Wichit Taviyan.	False |
| Her parents are Khunying Kanitha.	False |
| She has siblings.	True |
| She has two siblings.	True |
| Her brother's name is Thanin.	False |
| Her sister's name is Thipakorn.	False |
| In 1999, she graduated.	False |
| She graduated with a bachelor's degree.	True |
| She graduated with a bachelor's degree in business administration.	False |
| She graduated from Ramkhamhaeng University.	False |
| She graduated.	True |
| She worked as a manager.	False |
| She worked at a family.	False |
","| Suthida Taviyan is a person. |
| Suthida Taviyan is the current Queen consort. |
| Suthida Taviyan is the current Queen consort of Thailand. |
| She was born in Bangkok. |
| Her parents are Lt. Gen. Wichit Taviyan. |
| Her parents are Khunying Kanitha. |
| Her brother's name is Thanin. |
| Her sister's name is Thipakorn. |
| In 1999, she graduated. |
| She graduated with a bachelor's degree in business administration. |
| She graduated from Ramkhamhaeng University. |
| She worked as a manager. |
| She worked at a family. |
"
Tell me a bio of Miguel Ángel Félix Gallardo," Miguel Ángel Félix Gallardo was born in 1946 in the town of Sinaloa, Mexico. He was known as 'El Jefe de jefes' or 'The Boss of bosses'. He became one of the most powerful drug traffickers in Mexico and is considered to be the founder of the modern Mexican drug cartel. He died in prison in 1980.","| Miguel Ángel Félix Gallardo was born in 1946.	True |
| Miguel Ángel Félix Gallardo was born in the town of Sinaloa.	True |
| Sinaloa is located in Mexico.	True |
| Miguel Ángel Félix Gallardo was born in Mexico.	True |
| He was known as 'El Jefe de jefes'.	True |
| 'El Jefe de jefes' translates to 'The Boss of bosses'.	True |
| He was known as 'The Boss of bosses'.	True |
| He became a drug trafficker.	True |
| He became one of the most powerful drug traffickers in Mexico.	True |
| He is considered the founder of the modern Mexican drug cartel.	True |
| He died.	False |
| He died in prison.	False |
| He died in 1980.	False |
","| He died. |
| He died in prison. |
| He died in 1980. |
"
Tell me a bio of Iggy Azalea," Iggy Azalea is an Australian rapper, singer, songwriter and model. She was born in Sydney on June 7, 1990. Her real name is Amethyst Amelia Kelly. She grew up in Mullumbimby, New South Wales. She moved to the United States when she was 16 years old to pursue her music career. She released her first mixtape in 2011 called Ignorant Art. She gained popularity with her single ""Work"" which peaked at","| Iggy Azalea is Australian.	True |
| Iggy Azalea is a rapper.	True |
| Iggy Azalea is a singer.	False |
| Iggy Azalea is a songwriter.	False |
| Iggy Azalea is a model.	True |
| She was born in Sydney.	True |
| She was born on June 7, 1990.	True |
| Her real name is Amethyst Amelia Kelly.	True |
| Amethyst Amelia Kelly is her real name.	True |
| She grew up in Mullumbimby.	True |
| Mullumbimby is located in New South Wales.	True |
| She moved to the United States.	True |
| She moved to the United States when she was 16 years old.	True |
| She moved to the United States to pursue her music career.	True |
| She moved to the United States when she was 16 years old to pursue her music career.	True |
| She released her first mixtape.	True |
| The mixtape is called Ignorant Art.	True |
| The mixtape was released in 2011.	True |
| She gained popularity.	True |
| She gained popularity with her single ""Work.""	True |
| The single ""Work"" peaked at a certain position on the charts.	True |
","| Iggy Azalea is a singer. |
| Iggy Azalea is a songwriter. |
"
Tell me a bio of Fernando da Costa Novaes," Fernando da Costa Novaes is a Brazilian entrepreneur and investor. He is the founder and CEO of Grupo Nos, one of Brazil's largest telecommunications companies. Novaes started his career in 1987 as an intern at IBM Brazil. In 1995, he founded Nos Communications, which later became Grupo Nos. The company operates several businesses including fixed-line telephony, mobile communications, internet services, cable TV, and content production. Novaes is also known for his philanthropic activities and has supported","| Fernando da Costa Novaes is a person.	True |
| Fernando da Costa Novaes is Brazilian.	True |
| Fernando da Costa Novaes is an entrepreneur.	False |
| Fernando da Costa Novaes is an investor.	False |
| He is the founder.	False |
| He is the CEO.	False |
| Grupo Nos is one of Brazil's largest telecommunications companies.	False |
| Novaes started his career in 1987.	False |
| Novaes started his career as an intern.	False |
| Novaes started his career at IBM Brazil.	False |
| Novaes started his career as an intern at IBM Brazil.	False |
| In 1995, he founded Nos Communications.	False |
| Nos Communications later became Grupo Nos.	False |
| The company operates several businesses.	False |
| The company operates fixed-line telephony.	False |
| The company operates mobile communications.	False |
| The company operates internet services.	False |
| The company operates cable TV.	False |
| The company operates content production.	False |
| Novaes is known for his philanthropic activities.	False |
| Novaes has supported various causes or organizations.	True |
","| Fernando da Costa Novaes is an entrepreneur. |
| Fernando da Costa Novaes is an investor. |
| He is the founder. |
| He is the CEO. |
| Grupo Nos is one of Brazil's largest telecommunications companies. |
| Novaes started his career in 1987. |
| Novaes started his career as an intern. |
| Novaes started his career at IBM Brazil. |
| Novaes started his career as an intern at IBM Brazil. |
| In 1995, he founded Nos Communications. |
| Nos Communications later became Grupo Nos. |
| The company operates several businesses. |
| The company operates fixed-line telephony. |
| The company operates mobile communications. |
| The company operates internet services. |
| The company operates cable TV. |
| The company operates content production. |
| Novaes is known for his philanthropic activities. |
"
Tell me a bio of Jan Zamoyski," Jan Zamoyski was a Polish nobleman, statesman and military commander. He was the son of Janusz Radziwiłł and Anna Zamojska. He served as a diplomat and soldier under King Sigismund III Vasa. In 1604, he became the Chancellor of Poland and played an important role in shaping the political landscape of the country. He was also instrumental in the formation of the Polish-Lithuanian Commonwealth.","| Jan Zamoyski was a Polish nobleman.	True |
| Jan Zamoyski was a statesman.	True |
| Jan Zamoyski was a military commander.	True |
| He was a son.	True |
| His father's name was Janusz Radziwiłł.	False |
| His mother's name was Anna Zamojska.	False |
| He served as a diplomat.	True |
| He served as a soldier.	True |
| He served under King Sigismund III Vasa.	False |
| In 1604, he became the Chancellor of Poland.	False |
| He became the Chancellor of Poland.	True |
| He played an important role in shaping the political landscape of the country.	True |
| He was instrumental.	True |
| He was instrumental in the formation of the Polish-Lithuanian Commonwealth.	False |
","| His father's name was Janusz Radziwiłł. |
| His mother's name was Anna Zamojska. |
| He served under King Sigismund III Vasa. |
| In 1604, he became the Chancellor of Poland. |
| He was instrumental in the formation of the Polish-Lithuanian Commonwealth. |
"
Tell me a bio of Radhika Apte," Radhika Apte is an Indian actress who has appeared in Hindi, English, Tamil, Telugu and Malayalam films. She made her acting debut with the Kannada film Abhiyum Naanum (2010). Her first Bollywood film was Vaishali (2013) followed by a critically acclaimed performance in the film Badlapur (2015). In 2017, she received critical acclaim for her performances in Padman, Lust Stories and Sacred Games. She","| Radhika Apte is an Indian actress.	True |
| Radhika Apte has appeared in Hindi films.	True |
| Radhika Apte has appeared in English films.	True |
| Radhika Apte has appeared in Tamil films.	True |
| Radhika Apte has appeared in Telugu films.	False |
| Radhika Apte has appeared in Malayalam films.	False |
| She is an actress.	True |
| She made her acting debut.	False |
| She made her acting debut with a Kannada film.	False |
| The Kannada film she debuted in is Abhiyum Naanum.	False |
| Abhiyum Naanum was released in 2010.	False |
| Her first Bollywood film was Vaishali.	False |
| Vaishali was released in 2013.	False |
| She had a critically acclaimed performance in Badlapur.	True |
| Badlapur was released in 2015.	True |
| In 2017, she received critical acclaim.	True |
| She received critical acclaim for her performances.	True |
| She received critical acclaim for her performances in Padman.	True |
| She received critical acclaim for her performances in Lust Stories.	True |
| She received critical acclaim for her performances in Sacred Games.	True |
","| Radhika Apte has appeared in Telugu films. |
| Radhika Apte has appeared in Malayalam films. |
| She made her acting debut. |
| She made her acting debut with a Kannada film. |
| The Kannada film she debuted in is Abhiyum Naanum. |
| Abhiyum Naanum was released in 2010. |
| Her first Bollywood film was Vaishali. |
| Vaishali was released in 2013. |
"
Tell me a bio of David Galloway (writer)," David Galloway is an American writer and producer. He is best known for his work on the television series The Simpsons, where he has written several episodes and served as co-executive producer.","| David Galloway is a person.	True |
| David Galloway is American.	True |
| David Galloway is a writer.	True |
| David Galloway is a producer.	False |
| He is best known for his work on The Simpsons.	False |
| The Simpsons is a television series.	False |
| He has written several episodes of The Simpsons.	False |
| He has served as co-executive producer of The Simpsons.	False |
","| David Galloway is a producer. |
| He is best known for his work on The Simpsons. |
| The Simpsons is a television series. |
| He has written several episodes of The Simpsons. |
| He has served as co-executive producer of The Simpsons. |
"
Tell me a bio of Cheyenne Brando," Cheyenne Brando was an American actress and model. She was the daughter of actor Marlon Brando and his first wife, Anna Kashfi. Cheyenne appeared in several films and television shows throughout her career, including 'The Appaloosa', 'A Streetcar Named Desire', and 'The Twilight Zone'. She also modeled for various fashion magazines and brands. In later years, she struggled with drug addiction and mental health issues, which ultimately led to her death at the age of","| Cheyenne Brando was an American.	False |
| Cheyenne Brando was an actress.	False |
| Cheyenne Brando was a model.	True |
| She was the daughter of Marlon Brando.	True |
| Marlon Brando was an actor.	True |
| She was the daughter of Marlon Brando and Anna Kashfi.	False |
| Anna Kashfi was his first wife.	False |
| Cheyenne appeared in several films.	False |
| Cheyenne appeared in several television shows.	False |
| Cheyenne had a career in acting.	False |
| Cheyenne appeared in 'The Appaloosa'.	False |
| 'The Appaloosa' is a film.	True |
| Cheyenne appeared in 'A Streetcar Named Desire'.	False |
| 'A Streetcar Named Desire' is a film.	True |
| Cheyenne appeared in 'The Twilight Zone'.	False |
| 'The Twilight Zone' is a television show.	False |
| She modeled.	True |
| She modeled for fashion magazines.	True |
| She modeled for brands.	True |
| She modeled for various fashion magazines.	True |
| She modeled for various brands.	True |
| In later years, she struggled with drug addiction.	True |
| In later years, she struggled with mental health issues.	True |
| Her struggles with drug addiction and mental health issues led to her death.	True |
| She died.	True |
| She died at a certain age.	True |
","| Cheyenne Brando was an American. |
| Cheyenne Brando was an actress. |
| She was the daughter of Marlon Brando and Anna Kashfi. |
| Anna Kashfi was his first wife. |
| Cheyenne appeared in several films. |
| Cheyenne appeared in several television shows. |
| Cheyenne had a career in acting. |
| Cheyenne appeared in 'The Appaloosa'. |
| Cheyenne appeared in 'A Streetcar Named Desire'. |
| Cheyenne appeared in 'The Twilight Zone'. |
| 'The Twilight Zone' is a television show. |
"
Tell me a bio of Mihai Eminescu," Mihai Eminescu was a Romanian poet, journalist, and literary critic. He is considered one of the most important figures in Romanian literature and culture. Born on January 15, 1850, in Botoșani, Romania, he studied law at the University of Iasi before turning to poetry. His works are characterized by their use of symbolism and mythological themes, as well as their focus on national identity and cultural heritage. Some of his best-known poems include ""","| Mihai Eminescu was a poet.	True |
| Mihai Eminescu was a journalist.	True |
| Mihai Eminescu was a literary critic.	False |
| Mihai Eminescu was Romanian.	True |
| He is considered.	True |
| He is considered one of the most important figures.	True |
| He is considered one of the most important figures in Romanian literature.	True |
| He is considered one of the most important figures in Romanian culture.	True |
| He was born on January 15, 1850.	True |
| He was born in Botoșani, Romania.	True |
| He studied law at the University of Iasi.	False |
| He studied law at the University of Iasi before turning to poetry.	False |
| His works are characterized by their use of symbolism.	True |
| His works are characterized by their use of mythological themes.	True |
| His works are characterized by their focus.	True |
| His works are characterized by their focus on national identity.	True |
| His works are characterized by their focus on cultural heritage.	False |
","| Mihai Eminescu was a literary critic. |
| He studied law at the University of Iasi. |
| He studied law at the University of Iasi before turning to poetry. |
| His works are characterized by their focus on cultural heritage. |
"
Tell me a bio of John Atkinson Grimshaw," John Atkinson Grimshaw was an English artist known for his atmospheric Victorian landscape paintings. He was born in 1836 and died in 1893. His work often featured moonlight, fog, and other elements that created a sense of mystery and drama. He exhibited at the Royal Academy and was well-respected by critics and collectors during his lifetime.","| John Atkinson Grimshaw was English.	True |
| John Atkinson Grimshaw was an artist.	True |
| John Atkinson Grimshaw was known for his atmospheric Victorian landscape paintings.	True |
| He was born in 1836.	True |
| He died in 1893.	True |
| His work often featured moonlight.	True |
| His work often featured fog.	True |
| His work often featured elements that created a sense of mystery.	True |
| His work often featured elements that created a sense of drama.	True |
| He exhibited at the Royal Academy.	True |
| He was well-respected by critics during his lifetime.	True |
| He was well-respected by collectors during his lifetime.	True |
| He was well-respected by critics and collectors during his lifetime.	True |
",
Tell me a bio of Maja Jager," Maja Jager is an American actress and model. She was born in New York City, New York on September 15, 1981. She has appeared in various movies and TV shows such as CSI: Miami, The Sopranos, and Law & Order: Special Victims Unit.","| Maja Jager is a person.	True |
| Maja Jager is American.	False |
| Maja Jager is an actress.	False |
| Maja Jager is a model.	False |
| She was born in New York City.	False |
| She was born in New York.	False |
| She was born on September 15, 1981.	False |
| She has appeared in various movies.	False |
| She has appeared in TV shows.	False |
| She has appeared in CSI: Miami.	False |
| She has appeared in The Sopranos.	False |
| She has appeared in Law & Order: Special Victims Unit.	False |
","| Maja Jager is American. |
| Maja Jager is an actress. |
| Maja Jager is a model. |
| She was born in New York City. |
| She was born in New York. |
| She was born on September 15, 1981. |
| She has appeared in various movies. |
| She has appeared in TV shows. |
| She has appeared in CSI: Miami. |
| She has appeared in The Sopranos. |
| She has appeared in Law & Order: Special Victims Unit. |
"
Tell me a bio of Richie Dorman," Richie Dorman is an American actor, producer and director. He was born on October 7th, 1961 in Los Angeles, California. He is known for his roles in films such as 'The Terminator', 'Total Recall', and 'Starship Troopers'.","| Richie Dorman is American.	False |
| Richie Dorman is an actor.	False |
| Richie Dorman is a producer.	False |
| Richie Dorman is a director.	True |
| He was born on October 7th, 1961.	False |
| He was born in Los Angeles.	False |
| He was born in California.	False |
| He is known for his roles in films.	False |
| One of the films he is known for is The Terminator.	False |
| The Terminator is a film.	False |
| One of the films he is known for is Total Recall.	False |
| Total Recall is a film.	False |
| One of the films he is known for is Starship Troopers.	False |
| Starship Troopers is a film.	False |
","| Richie Dorman is American. |
| Richie Dorman is an actor. |
| Richie Dorman is a producer. |
| He was born on October 7th, 1961. |
| He was born in Los Angeles. |
| He was born in California. |
| He is known for his roles in films. |
| One of the films he is known for is The Terminator. |
| The Terminator is a film. |
| One of the films he is known for is Total Recall. |
| Total Recall is a film. |
| One of the films he is known for is Starship Troopers. |
| Starship Troopers is a film. |
"
Tell me a bio of Braulio Lara," Braulio Lara is an American politician who served as the 41st Mayor of Miami from 1993 to 2009. He was born in Havana, Cuba and immigrated to the United States at the age of 13. After graduating from Florida International University, he worked for the City of Miami Beach before being elected to the city commission in 1986. He later became the first Cuban-American mayor of Miami in 1993. During his tenure, he oversaw significant improvements","| Braulio Lara is an American politician.	False |
| Braulio Lara served as the 41st Mayor of Miami.	False |
| Braulio Lara served as the 41st Mayor of Miami from 1993 to 2009.	False |
| He was born in Havana, Cuba.	False |
| He immigrated to the United States.	False |
| He immigrated to the United States at the age of 13.	False |
| He was 13 years old when he immigrated to the United States.	False |
| He graduated from Florida International University.	False |
| He worked for the City of Miami Beach.	False |
| He was elected to the city commission.	False |
| He was elected to the city commission in 1986.	False |
| He became the first Cuban-American mayor of Miami.	False |
| He became the first Cuban-American mayor of Miami in 1993.	False |
| He later became the first Cuban-American mayor of Miami.	False |
| He had a tenure.	True |
| He oversaw improvements.	False |
| The improvements were significant.	True |
","| Braulio Lara is an American politician. |
| Braulio Lara served as the 41st Mayor of Miami. |
| Braulio Lara served as the 41st Mayor of Miami from 1993 to 2009. |
| He was born in Havana, Cuba. |
| He immigrated to the United States. |
| He immigrated to the United States at the age of 13. |
| He was 13 years old when he immigrated to the United States. |
| He graduated from Florida International University. |
| He worked for the City of Miami Beach. |
| He was elected to the city commission. |
| He was elected to the city commission in 1986. |
| He became the first Cuban-American mayor of Miami. |
| He became the first Cuban-American mayor of Miami in 1993. |
| He later became the first Cuban-American mayor of Miami. |
| He oversaw improvements. |
"
Tell me a bio of Katherine Ryan," Katherine Ryan is a Canadian-born comedian, writer, and actress. She grew up in Montreal and began her career as a stand-up comic at the age of 17. After moving to London, she became a regular on various TV shows including Mock the Week and Live at the Apollo. In addition to her comedic work, Ryan has also written for television shows such as The Duchess and 8 Out of 10 Cats Does Countdown. She currently hosts the podcast Telling Everybody Everything and is","| Katherine Ryan is Canadian-born.	True |
| Katherine Ryan is a comedian.	True |
| Katherine Ryan is a writer.	True |
| Katherine Ryan is an actress.	True |
| She grew up in Montreal.	False |
| She began her career as a stand-up comic.	True |
| She began her career as a stand-up comic at the age of 17.	False |
| She moved to London.	True |
| She became a regular on TV shows.	True |
| She became a regular on Mock the Week.	False |
| She became a regular on Live at the Apollo.	True |
| She became a regular on various TV shows.	True |
| Ryan has comedic work.	True |
| Ryan has written for television shows.	True |
| The television show ""The Duchess"" is one of the shows she has written for.	True |
| The television show ""8 Out of 10 Cats Does Countdown"" is one of the shows she has written for.	False |
| She hosts the podcast Telling Everybody Everything.	True |
| The podcast is called Telling Everybody Everything.	False |
","| She grew up in Montreal. |
| She began her career as a stand-up comic at the age of 17. |
| She became a regular on Mock the Week. |
| The television show ""8 Out of 10 Cats Does Countdown"" is one of the shows she has written for. |
| The podcast is called Telling Everybody Everything. |
"
Tell me a bio of Matthew Perry," Matthew Langford Perry was born on August 19, 1969 in Williamstown, Massachusetts. He is an American actor, comedian and producer. Perry gained worldwide recognition for his role as Chandler Bing on the NBC sitcom Friends from 1994 to 2004. After the show ended, he starred in several other television series including Studio 60 on the Sunset Strip and The Good Wife. Perry has also appeared in numerous films such as Fools Rush In, The Whole Nine Yards, and","| Matthew Langford Perry was born on August 19, 1969.	True |
| Matthew Langford Perry was born in Williamstown.	True |
| Matthew Langford Perry was born in Massachusetts.	True |
| He is an American.	False |
| He is an actor.	True |
| He is a comedian.	True |
| He is a producer.	True |
| Perry gained worldwide recognition.	True |
| Perry gained worldwide recognition for his role as Chandler Bing.	True |
| Perry gained worldwide recognition for his role as Chandler Bing on the NBC sitcom Friends.	True |
| Friends is an NBC sitcom.	True |
| Friends aired from 1994 to 2004.	True |
| The show ended.	True |
| He starred in several other television series.	True |
| He starred in Studio 60 on the Sunset Strip.	True |
| He starred in The Good Wife.	True |
| Perry has appeared in numerous films.	True |
| Perry has appeared in Fools Rush In.	True |
| Perry has appeared in The Whole Nine Yards.	True |
","| He is an American. |
