prompt,response,atoms,hallucinated atoms
Tell me a bio of Suthida," Suthida Vajiralongkorn Na Aiking-ngoen Prakarn is the wife of King Maha Vajiralongkorn. She was born on November 13, 1967 in Bangkok, Thailand as Suriya Phichai Wacharasindu. Her father is Pridiyathorn Devakula and her mother is Somchai Chaimanee. She has one brother named Arthit who is also married to Princess Sirivannavari Nar","| Suthida Vajiralongkorn Na Aiking-ngoen Prakarn is a person.	True |
| Suthida Vajiralongkorn Na Aiking-ngoen Prakarn is the wife of King Maha Vajiralongkorn.	True |
| King Maha Vajiralongkorn is a king.	True |
| She was born on November 13, 1967.	False |
| She was born in Bangkok, Thailand.	False |
| Her birth name is Suriya Phichai Wacharasindu.	False |
| Her father is Pridiyathorn Devakula.	False |
| Her mother is Somchai Chaimanee.	False |
| She has one brother.	False |
| Her brother is named Arthit.	False |
| Arthit is married.	False |
| Arthit is married to Princess Sirivannavari Nar.	False |
","| She was born on November 13, 1967. |
| She was born in Bangkok, Thailand. |
| Her birth name is Suriya Phichai Wacharasindu. |
| Her father is Pridiyathorn Devakula. |
| Her mother is Somchai Chaimanee. |
| She has one brother. |
| Her brother is named Arthit. |
| Arthit is married. |
| Arthit is married to Princess Sirivannavari Nar. |
"
Tell me a bio of Miguel Ángel Félix Gallardo," Miguel Ángel Félix Gallardo (born March 19, 1943), is an alleged Mexican drug lord and the founder of the Guadalajara Cartel. He was nicknamed ""El Padrino"" (""The Godfather"") by the media due to his influence in the organization.[1]
","| Miguel Ángel Félix Gallardo was born on March 19, 1943.	False |
| Miguel Ángel Félix Gallardo is an alleged Mexican drug lord.	False |
| Miguel Ángel Félix Gallardo is the founder of the Guadalajara Cartel.	True |
| He was nicknamed ""El Padrino"" by the media.	True |
| ""El Padrino"" means ""The Godfather.""	True |
| The media gave him the nickname ""El Padrino.""	True |
| The nickname was given due to his influence in the organization.	True |
","| Miguel Ángel Félix Gallardo was born on March 19, 1943. |
| Miguel Ángel Félix Gallardo is an alleged Mexican drug lord. |
"
Tell me a bio of Iggy Azalea," Iggy Azalea is an Australian rapper, singer and songwriter. She first gained popularity in Australia before breaking into the US music scene with her hit single ""Fancy"".
","| Iggy Azalea is a person.	True |
| Iggy Azalea is Australian.	True |
| Iggy Azalea is a rapper.	True |
| Iggy Azalea is a singer.	False |
| Iggy Azalea is a songwriter.	False |
| She first gained popularity in Australia.	False |
| She gained popularity in Australia before breaking into the US music scene.	True |
| She broke into the US music scene.	True |
| Her hit single is ""Fancy"".	True |
","| Iggy Azalea is a singer. |
| Iggy Azalea is a songwriter. |
| She first gained popularity in Australia. |
"
Tell me a bio of Fernando da Costa Novaes," Fernando da Costa Novaes was born in Portugal on December 17, 1883. He studied law at the University of Lisbon and then moved to Brazil where he became involved with the Brazilian Republican Party (PRB). In 1923, he was appointed as the Minister of Justice by President Washington Luís. During his tenure, he worked to modernize the country's legal system and reduce corruption within the judiciary. After leaving office, he continued to work for the PRB until his death in 1945.
","| Fernando da Costa Novaes was born in Portugal.	False |
| Fernando da Costa Novaes was born on December 17, 1883.	False |
| He studied law.	False |
| He studied law at the University of Lisbon.	False |
| He moved to Brazil.	True |
| He became involved with the Brazilian Republican Party (PRB).	False |
| It was 1923.	False |
| He was appointed as the Minister of Justice.	False |
| The appointment was made by President Washington Luís.	False |
| He worked during his tenure.	True |
| He worked to modernize the country's legal system.	False |
| He worked to reduce corruption within the judiciary.	False |
| He worked to modernize the country's legal system during his tenure.	False |
| He worked to reduce corruption within the judiciary during his tenure.	False |
| He left office.	False |
| He continued to work for the PRB.	False |
| He worked for the PRB until his death.	False |
| His death occurred in 1945.	False |
","| Fernando da Costa Novaes was born in Portugal. |
| Fernando da Costa Novaes was born on December 17, 1883. |
| He studied law. |
| He studied law at the University of Lisbon. |
| He became involved with the Brazilian Republican Party (PRB). |
| It was 1923. |
| He was appointed as the Minister of Justice. |
| The appointment was made by President Washington Luís. |
| He worked to modernize the country's legal system. |
| He worked to reduce corruption within the judiciary. |
| He worked to modernize the country's legal system during his tenure. |
| He worked to reduce corruption within the judiciary during his tenure. |
| He left office. |
| He continued to work for the PRB. |
| He worked for the PRB until his death. |
| His death occurred in 1945. |
"
Tell me a bio of Jan Zamoyski," Jan III Sobieski was born on September 12, 1566 in Krosno Odrzańskie, Poland. He was the son of King John II Casimir and his first wife Anna Jagiellonka.

He succeeded to the throne at age 13 after his father's death in October 1586. During his reign he fought many battles against the Ottoman Empire under the leadership of Prince Eugene of Savoy. His most famous victory came during the Battle of Vienna in 16","| Jan III Sobieski was born on September 12, 1566.	False |
| Jan III Sobieski was born in Krosno Odrzańskie.	False |
| Jan III Sobieski was born in Poland.	True |
| He was the son of King John II Casimir.	False |
| He was the son of Anna Jagiellonka.	False |
| Anna Jagiellonka was his father's first wife.	False |
| He succeeded to the throne.	False |
| He succeeded to the throne at age 13.	False |
| His father died in October 1586.	True |
| He succeeded to the throne after his father's death in October 1586.	False |
| He had a reign.	True |
| He fought many battles.	True |
| The battles were against the Ottoman Empire.	False |
| The battles were under the leadership of Prince Eugene of Savoy.	False |
| He had a famous victory.	True |
| The victory came during the Battle of Vienna.	False |
| The Battle of Vienna occurred in 16__.	False |
","| Jan III Sobieski was born on September 12, 1566. |
| Jan III Sobieski was born in Krosno Odrzańskie. |
| He was the son of King John II Casimir. |
| He was the son of Anna Jagiellonka. |
| Anna Jagiellonka was his father's first wife. |
| He succeeded to the throne. |
| He succeeded to the throne at age 13. |
| He succeeded to the throne after his father's death in October 1586. |
| The battles were against the Ottoman Empire. |
| The battles were under the leadership of Prince Eugene of Savoy. |
| The victory came during the Battle of Vienna. |
| The Battle of Vienna occurred in 16__. |
"
Tell me a bio of Radhika Apte," Radhika Apte is an Indian actress who predominantly works in Hindi films. She made her acting debut with the Bengali film Sarah-Jane, and then appeared in several critically acclaimed Marathi and Kannada language films before making her Bollywood debut with the 2014 romantic comedy–dramaapted ""Phobia"". Her first commercial success was as a lead actress in the 2017 horror thriller film ""Krishna Cottage"", which earned her critical acclaim and became one of the highest","| Radhika Apte is an Indian actress.	True |
| Radhika Apte works predominantly in Hindi films.	True |
| She made her acting debut with a Bengali film.	True |
| The Bengali film she made her acting debut in is Sarah-Jane.	False |
| She appeared in several critically acclaimed Marathi language films.	True |
| She appeared in several critically acclaimed Kannada language films.	False |
| She made her Bollywood debut in 2014.	False |
| Her Bollywood debut was in a romantic comedy–drama.	False |
| The romantic comedy–drama she debuted in was ""Phobia"".	False |
| Her first commercial success was in Krishna Cottage.	False |
| Krishna Cottage is a horror thriller film.	False |
| Krishna Cottage was released in 2017.	False |
| She was a lead actress in Krishna Cottage.	False |
| She earned critical acclaim for her role in Krishna Cottage.	False |
| Krishna Cottage became one of the highest-grossing films.	False |
","| The Bengali film she made her acting debut in is Sarah-Jane. |
| She appeared in several critically acclaimed Kannada language films. |
| She made her Bollywood debut in 2014. |
| Her Bollywood debut was in a romantic comedy–drama. |
| The romantic comedy–drama she debuted in was ""Phobia"". |
| Her first commercial success was in Krishna Cottage. |
| Krishna Cottage is a horror thriller film. |
| Krishna Cottage was released in 2017. |
| She was a lead actress in Krishna Cottage. |
| She earned critical acclaim for her role in Krishna Cottage. |
| Krishna Cottage became one of the highest-grossing films. |
"
Tell me a bio of David Galloway (writer)," David Galloway is an American writer who has written several books on the history of science fiction. He was born in New York City and grew up reading science fiction, which inspired him to become a writer himself.
","| David Galloway is an American writer.	True |
| David Galloway has written several books.	True |
| The books written by David Galloway are on the history of science fiction.	False |
| He was born in New York City.	False |
| He grew up reading science fiction.	False |
| Reading science fiction inspired him.	False |
| He was inspired to become a writer himself.	True |
","| The books written by David Galloway are on the history of science fiction. |
| He was born in New York City. |
| He grew up reading science fiction. |
| Reading science fiction inspired him. |
"
Tell me a bio of Cheyenne Brando," Cheyenne Brando was born in the United States and is an American actress. She has appeared in numerous films, including ""The Godfather"" (1972) as Connie Corleone's daughter Mary, and ""Apocalypse Now"" (1979).

Brando began her career at age 16 on Broadway, where she played the lead role in ""A Streetcar Named Desire."" After making her film debut in 1969, she quickly established herself as one of Hollywood's leading actresses,","| Cheyenne Brando was born in the United States.	False |
| Cheyenne Brando is an American.	False |
| Cheyenne Brando is an actress.	False |
| She has appeared in numerous films.	False |
| ""The Godfather"" is a film.	True |
| ""The Godfather"" was released in 1972.	True |
| In ""The Godfather,"" she portrayed Connie Corleone's daughter Mary.	False |
| ""Apocalypse Now"" is a film.	True |
| ""Apocalypse Now"" was released in 1979.	False |
| Brando began her career at age 16.	False |
| Brando began her career on Broadway.	False |
| Brando played the lead role in ""A Streetcar Named Desire.""	False |
| ""A Streetcar Named Desire"" is a play.	True |
| She made her film debut in 1969.	False |
| She quickly established herself.	False |
| She quickly established herself as one of Hollywood's leading actresses.	False |
| She quickly established herself as one of Hollywood's leading actresses after making her film debut in 1969.	False |
","| Cheyenne Brando was born in the United States. |
| Cheyenne Brando is an American. |
| Cheyenne Brando is an actress. |
| She has appeared in numerous films. |
| In ""The Godfather,"" she portrayed Connie Corleone's daughter Mary. |
| ""Apocalypse Now"" was released in 1979. |
| Brando began her career at age 16. |
| Brando began her career on Broadway. |
| Brando played the lead role in ""A Streetcar Named Desire."" |
| She made her film debut in 1969. |
| She quickly established herself. |
| She quickly established herself as one of Hollywood's leading actresses. |
| She quickly established herself as one of Hollywood's leading actresses after making her film debut in 1969. |
"
Tell me a bio of Mihai Eminescu," Romanian poet and writer, Mihail Eminescu was born on February 8th 1871 in the village of Sibiu. He spent his childhood years there before moving to Bucharest where he finished high school at the ""Școala Nouă"" (New School). After graduating from high school, Eminescu continued his studies at the University of Vienna, but soon dropped out due to health issues.
","| Mihail Eminescu was a Romanian poet.	True |
| Mihail Eminescu was a writer.	False |
| Mihail Eminescu was born on February 8, 1871.	False |
| Mihail Eminescu was born in the village of Sibiu.	False |
| He spent his childhood years in a specific place.	True |
| He spent his childhood years in a specific place before moving to Bucharest.	True |
| He moved to Bucharest.	True |
| He finished high school at ""Școala Nouă"" (New School).	False |
| ""Școala Nouă"" (New School) is where he finished high school.	False |
| He finished high school at ""Școala Nouă"" (New School) in Bucharest.	False |
| Eminescu graduated from high school.	False |
| Eminescu continued his studies.	True |
| Eminescu continued his studies at the University of Vienna.	True |
| Eminescu dropped out of the University of Vienna.	True |
| Eminescu dropped out of the University of Vienna due to health issues.	True |
","| Mihail Eminescu was a writer. |
| Mihail Eminescu was born on February 8, 1871. |
| Mihail Eminescu was born in the village of Sibiu. |
| He finished high school at ""Școala Nouă"" (New School). |
| ""Școala Nouă"" (New School) is where he finished high school. |
| He finished high school at ""Școala Nouă"" (New School) in Bucharest. |
| Eminescu graduated from high school. |
"
Tell me a bio of John Atkinson Grimshaw," John Atkinson Grimshaw (1836-1893) was an English landscape painter and etcher. He is best known for his atmospheric paintings of rural scenes in Yorkshire, including the North York Moors.
","| John Atkinson Grimshaw lived from 1836 to 1893.	True |
| John Atkinson Grimshaw was English.	True |
| John Atkinson Grimshaw was a landscape painter.	True |
| John Atkinson Grimshaw was an etcher.	False |
| He is known for his atmospheric paintings.	True |
| He is known for his paintings of rural scenes in Yorkshire.	False |
| He is known for his paintings of the North York Moors.	False |
","| John Atkinson Grimshaw was an etcher. |
| He is known for his paintings of rural scenes in Yorkshire. |
| He is known for his paintings of the North York Moors. |
"
