prompt,name,response
Tell me a bio of Suthida,Suthida," Suthida Taviyan is the current Queen consort of Thailand. She was born on 3 June 1978 in Bangkok, Thailand. Her parents are Lt. Gen. Wichit Taviyan and Khunying Kanitha. She has two siblings, brother Thanin and sister Thipakorn. In 1999, she graduated with a bachelor's degree in business administration from Ramkhamhaeng University. After graduation, she worked as a manager at a family"
Tell me a bio of Miguel Ángel Félix Gallardo,Miguel Ángel Félix Gallardo," Miguel Ángel Félix Gallardo was born in 1946 in the town of Sinaloa, Mexico. He was known as 'El Jefe de jefes' or 'The Boss of bosses'. He became one of the most powerful drug traffickers in Mexico and is considered to be the founder of the modern Mexican drug cartel. He died in prison in 1980."
Tell me a bio of Iggy Azalea,Iggy Azalea," Iggy Azalea is an Australian rapper, singer, songwriter and model. She was born in Sydney on June 7, 1990. Her real name is Amethyst Amelia Kelly. She grew up in Mullumbimby, New South Wales. She moved to the United States when she was 16 years old to pursue her music career. She released her first mixtape in 2011 called Ignorant Art. She gained popularity with her single ""Work"" which peaked at"
Tell me a bio of Fernando da Costa Novaes,Fernando da Costa Novaes," Fernando da Costa Novaes is a Brazilian entrepreneur and investor. He is the founder and CEO of Grupo Nos, one of Brazil's largest telecommunications companies. Novaes started his career in 1987 as an intern at IBM Brazil. In 1995, he founded Nos Communications, which later became Grupo Nos. The company operates several businesses including fixed-line telephony, mobile communications, internet services, cable TV, and content production. Novaes is also known for his philanthropic activities and has supported"
Tell me a bio of Jan Zamoyski,Jan Zamoyski," Jan Zamoyski was a Polish nobleman, statesman and military commander. He was the son of Janusz Radziwiłł and Anna Zamojska. He served as a diplomat and soldier under King Sigismund III Vasa. In 1604, he became the Chancellor of Poland and played an important role in shaping the political landscape of the country. He was also instrumental in the formation of the Polish-Lithuanian Commonwealth."
Tell me a bio of Radhika Apte,Radhika Apte," Radhika Apte is an Indian actress who has appeared in Hindi, English, Tamil, Telugu and Malayalam films. She made her acting debut with the Kannada film Abhiyum Naanum (2010). Her first Bollywood film was Vaishali (2013) followed by a critically acclaimed performance in the film Badlapur (2015). In 2017, she received critical acclaim for her performances in Padman, Lust Stories and Sacred Games. She"
Tell me a bio of David Galloway (writer),David Galloway (writer)," David Galloway is an American writer and producer. He is best known for his work on the television series The Simpsons, where he has written several episodes and served as co-executive producer."
Tell me a bio of Cheyenne Brando,Cheyenne Brando," Cheyenne Brando was an American actress and model. She was the daughter of actor Marlon Brando and his first wife, Anna Kashfi. Cheyenne appeared in several films and television shows throughout her career, including 'The Appaloosa', 'A Streetcar Named Desire', and 'The Twilight Zone'. She also modeled for various fashion magazines and brands. In later years, she struggled with drug addiction and mental health issues, which ultimately led to her death at the age of"
Tell me a bio of Mihai Eminescu,Mihai Eminescu," Mihai Eminescu was a Romanian poet, journalist, and literary critic. He is considered one of the most important figures in Romanian literature and culture. Born on January 15, 1850, in Botoșani, Romania, he studied law at the University of Iasi before turning to poetry. His works are characterized by their use of symbolism and mythological themes, as well as their focus on national identity and cultural heritage. Some of his best-known poems include """
Tell me a bio of John Atkinson Grimshaw,John Atkinson Grimshaw," John Atkinson Grimshaw was an English artist known for his atmospheric Victorian landscape paintings. He was born in 1836 and died in 1893. His work often featured moonlight, fog, and other elements that created a sense of mystery and drama. He exhibited at the Royal Academy and was well-respected by critics and collectors during his lifetime."
Tell me a bio of Maja Jager,Maja Jager," Maja Jager is an American actress and model. She was born in New York City, New York on September 15, 1981. She has appeared in various movies and TV shows such as CSI: Miami, The Sopranos, and Law & Order: Special Victims Unit."
Tell me a bio of Richie Dorman,Richie Dorman," Richie Dorman is an American actor, producer and director. He was born on October 7th, 1961 in Los Angeles, California. He is known for his roles in films such as 'The Terminator', 'Total Recall', and 'Starship Troopers'."
Tell me a bio of Braulio Lara,Braulio Lara," Braulio Lara is an American politician who served as the 41st Mayor of Miami from 1993 to 2009. He was born in Havana, Cuba and immigrated to the United States at the age of 13. After graduating from Florida International University, he worked for the City of Miami Beach before being elected to the city commission in 1986. He later became the first Cuban-American mayor of Miami in 1993. During his tenure, he oversaw significant improvements"
