list_name,condition,letter,list,count,list_condition,prompt,list_len,val,response,parsed_response,atomic_units,hallucinated_atomic_units
planets in the solar system,contain,a,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",4,"['earth', 'mars', 'saturn', 'uranus']","List 5 planets in the solar system that contain the letter 'a'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",8,5,Mercury; Venus; Earth; Mars; Neptune,"Mercury, Venus, Earth, Mars, Neptune 

 ","['Mercury', 'Venus', 'Earth', 'Mars', 'Neptune \n\n ']","['neptune', 'mercury', 'venus']"
planets in the solar system,contain,b,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],"List 7 planets in the solar system that contain the letter 'b'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",8,7,Mercury; Venus; Earth; Mars; Jupiter; Saturn; Uranus,"Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus","['Mercury', 'Venus', 'Earth', 'Mars', 'Jupiter', 'Saturn', 'Uranus']","['mars', 'earth', 'saturn', 'venus', 'mercury', 'jupiter', 'uranus']"
planets in the solar system,contain,c,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",1,['mercury'],"List 5 planets in the solar system that contain the letter 'c'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",8,5,Mercury; Venus; Earth; Mars; Uranus,"Mercury, Venus, Earth, Mars, Uranus 

 ","['Mercury', 'Venus', 'Earth', 'Mars', 'Uranus \n\n ']","['mars', 'earth', 'uranus', 'venus']"
planets in the solar system,contain,d,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],"List 1 planets in the solar system that contain the letter 'd'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",8,1,▫️ Mars,"Mercury, Mars, Mimas, Mab, Miranda, Metis, Melpomene 

 ","['Mercury', 'Mars', 'Mimas', 'Mab', 'Miranda', 'Metis', 'Melpomene \n\n ']","['mars', 'mab', 'melpomene', 'mercury', 'miranda', 'metis', 'mimas']"
planets in the solar system,contain,e,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",5,"['mercury', 'venus', 'earth', 'jupiter', 'neptune']","List 7 planets in the solar system that contain the letter 'e'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",8,7,Mercury; Venus; Earth; Mars; Jupiter; Saturn; Uranus,"Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus","['Mercury', 'Venus', 'Earth', 'Mars', 'Jupiter', 'Saturn', 'Uranus']","['mars', 'uranus', 'saturn']"
planets in the solar system,contain,f,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],"List 4 planets in the solar system that contain the letter 'f'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",8,4,Mars; Neptune; Uranus; Venus,"Mars, Neptune, Uranus, Venus 

 ","['Mars', 'Neptune', 'Uranus', 'Venus \n\n ']","['mars', 'neptune', 'uranus', 'venus']"
planets in the solar system,contain,g,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],"List 6 planets in the solar system that contain the letter 'g'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",8,6,Mercury; Venus; Earth; Uranus; Neptune,"Mercury, Venus, Earth, Uranus, Neptune 

 ","['Mercury', 'Venus', 'Earth', 'Uranus', 'Neptune \n\n ']","['earth', 'neptune', 'venus', 'mercury', 'uranus']"
planets in the solar system,contain,h,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",1,['earth'],"List 4 planets in the solar system that contain the letter 'h'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",8,4,Mercury; Venus; Earth; Uranus,"Mercury, Venus, Earth, Uranus

 ","['Mercury', 'Venus', 'Earth', 'Uranus\n\n ']","['mercury', 'uranus', 'venus']"
planets in the solar system,contain,i,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",1,['jupiter'],"List 8 planets in the solar system that contain the letter 'i'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",8,8,Mercury; Venus; Earth; Mars; Jupiter; Saturn; Uranus; Neptune,"Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, Neptune 

 ","['Mercury', 'Venus', 'Earth', 'Mars', 'Jupiter', 'Saturn', 'Uranus', 'Neptune \n\n ']","['mars', 'neptune', 'venus', 'mercury', 'uranus', 'earth', 'saturn']"
planets in the solar system,contain,j,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",1,['jupiter'],"List 4 planets in the solar system that contain the letter 'j'. Separate the items of the list using semicolons as separators. Provide only the list without any additional information. If you cannot answer, respond with 'no response.'",8,4,"Jupiter; Jupiter's moon Europa; Neptune; Io, a moon of Jupiter.","Jupiter, Europa, Neptune, Io
```","['Jupiter', 'Europa', 'Neptune', 'Io\n```']","['neptune', 'io\n```', 'europa']"
