passage,response,atomic_units,hallucinated_atomic_units
'the land before time dvd the film explores issues of prejudice between the different species and the hardships they endure in their journey as they are guided by the spirit of littlefoot s mother.' Provide only the simplified text as the response.,The Land Before Time DVD explores prejudice and hardships faced by different species on a journey guided by Littlefoot's mother's spirit.," The Land Before Time DVD explores prejudice and hardships faced by different species. | True |
 The journey is guided by Littlefoot's mother's spirit. | True",
'to commemorate his death josquin des prez composed the motet la d ploration de la mort de johannes ockeghem a setting of the poem nymphes des bois by jean molinet.' Provide only the simplified text as the response.,"Josquin des Prez composed the motet ""La Déploration de la Mort de Johannes Ockeghem,"" based on the poem ""Nymphes des Bois"" by Jean Molinet, to honor Ockeghem's death."," Josquin des Prez composed the motet ""La Déploration de la Mort de Johannes Ockeghem."" | True |
 The motet is based on the poem ""Nymphes des Bois"" by Jean Molinet. | True |
 The motet was composed to honor the death of Johannes Ockeghem. | True",
'he suffered serious head injuries and was sidelined for the rest of the season replaced by andrea de cesaris and a returning lehto who had been replaced at benetton after injury complications.' Provide only the simplified text as the response.,He suffered serious head injuries and was sidelined for the rest of the season. Andrea De Cesaris and a returning Lehto replaced him at Benetton.," The person mentioned in the passage suffered serious head injuries. | True |
 As a result of the injuries, he was sidelined for the rest of the season. | True |
 Andrea De Cesaris and a returning Lehto replaced him at Benetton. | False", Andrea De Cesaris and a returning Lehto replaced him at Benetton.
'however writing in the english antiquarian thomas hearne claims wright was born in shoe lane london and after an adolescent conversion to roman catholicism was taken to scotland by a priest.' Provide only the simplified text as the response.,"English antiquarian Thomas Hearne states that Wright was born in Shoe Lane, London. Wright later converted to Roman Catholicism during his adolescence and was then taken to Scotland by a priest."," Thomas Hearne, an English antiquarian, stated that Wright was born in Shoe Lane, London. | True |
 Wright converted to Roman Catholicism during his adolescence. | True |
 Wright was taken to Scotland by a priest after his conversion to Roman Catholicism. | True",
'mesnil clinchamps is a commune in the calvados department in the basse normandie region in northwestern france.' Provide only the simplified text as the response.,Mesnil-Clinchamps is a commune in the Calvados department in northwestern France.," Mesnil-Clinchamps is a commune. | True |
 Mesnil-Clinchamps is located in the Calvados department. | True |
 Mesnil-Clinchamps is in northwestern France. | True",
'a city gate is a gate which is or was set within a city wall.' Provide only the simplified text as the response.,A city gate is a gate within a city wall.," A city gate is a gate. | True |
 The gate is located within a city wall. | True",
'lilian thuram lrb born ruddy lilian thuram ulien on january in pointe pitre rrb is a retired french professional football defender and is the most capped player in the history of the france national team.' Provide only the simplified text as the response.,"Lilian Thuram, born Ruddy Lilian Thuram-Ulien on January in Pointe-à-Pitre, is a retired French professional football defender and holds the record for most appearances for the France national team."," Lilian Thuram was born in Pointe-à-Pitre. | True |
 He is a retired French professional football defender. | True |
 Thuram holds the record for most appearances for the France national team. | True",
'it was originally scored for a chamber group of flute piccolo clarinet lrb b flat and c rrb two pianos glass armonica xylophone two violins viola cello and double bass but is usually performed today with a full orchestra of strings and with a glockenspiel substituting for the rare glass armonica.' Provide only the simplified text as the response.,"Originally scored for a small chamber group, but now typically performed with a full orchestra of strings and a glockenspiel instead of the rare glass armonica."," The piece was originally scored for a small chamber group. | True |
 It is now typically performed with a full orchestra of strings. | True |
 The glockenspiel is used instead of the rare glass armonica in performances. | True",
'miles part of the national forest and borders on greater manchester to the north west west yorkshire to the north south yorkshire to the north east nottinghamshire to the east leicestershire to the south east staffordshire to the west and south west and cheshire also to the west.' Provide only the simplified text as the response.,"The national forest is surrounded by Greater Manchester, West Yorkshire, South Yorkshire, Nottinghamshire, Leicestershire, Staffordshire, and Cheshire."," The national forest is located in Greater Manchester. | False |
 The national forest is located in West Yorkshire. | False |
 The national forest is located in South Yorkshire. | False |
 The national forest is located in Nottinghamshire. | False |
 The national forest is located in Leicestershire. | False |
 The national forest is located in Staffordshire. | False |
 The national forest is located in Cheshire. | False"," The national forest is located in Greater Manchester. |
 The national forest is located in West Yorkshire. |
 The national forest is located in South Yorkshire. |
 The national forest is located in Nottinghamshire. |
 The national forest is located in Leicestershire. |
 The national forest is located in Staffordshire. |
 The national forest is located in Cheshire."
'bob cobb real name of the maestro in the nbc sitcom seinfeld' Provide only the simplified text as the response.,Bob Cobb is the real name of the Maestro in the NBC sitcom Seinfeld.," Bob Cobb is the real name of the Maestro. | False |
 The Maestro is a character in the NBC sitcom Seinfeld. | True", Bob Cobb is the real name of the Maestro.
'however it may be difficult to reintroduce ew species into the wild even if their natural habitats were restored because survival techniques which are normally passed from parents to offspring during parenting may be lost.' Provide only the simplified text as the response.,"Reintroducing new species into the wild can be challenging even if their habitats are restored, as important survival skills passed down from parents to offspring may be lost."," Reintroducing new species into the wild can be challenging. | True |
 Habitat restoration may not guarantee successful reintroduction of species. | True |
 Important survival skills may be lost when reintroducing species into the wild. | True |
 Survival skills are typically passed down from parents to offspring. | True",
'in and prunk was awarded scholarships by the alexander von humboldt foundation which enabled him to continue his studies in cologne and freiburg.' Provide only the simplified text as the response.,"In and Prunk received scholarships from the Alexander von Humboldt Foundation, allowing him to study in Cologne and Freiburg."," In received a scholarship from the Alexander von Humboldt Foundation. | True |
 Prunk received a scholarship from the Alexander von Humboldt Foundation. | True |
 The scholarships allowed them to study in Cologne and Freiburg. | True",
'it is named after the norwegian skater axel paulsen who first performed the jump in.' Provide only the simplified text as the response.,It is named after the Norwegian skater Axel Paulsen who first did the jump in.," The jump is named after the Norwegian skater Axel Paulsen. | True |
 Axel Paulsen was the first skater to perform the jump. | True",
'the pok mon series began with the release of pocket monsters red and green for the game boy in japan. when these games proved extremely popular an enhanced blue version was released sometime after and the blue version was reprogrammed as pok mon red and blue for international release.' Provide only the simplified text as the response.,The Pokémon series started with Pocket Monsters Red and Green in Japan. An enhanced Blue version was released later and reprogrammed as Pokémon Red and Blue for international launch.," The Pokémon series began with Pocket Monsters Red and Green in Japan. | True |
 An enhanced Blue version was released later. | True |
 The Blue version was reprogrammed and released internationally as Pokémon Red and Blue. | True",
'queen beatrix of the netherlands lives and works in the hague.' Provide only the simplified text as the response.,Queen Beatrix of the Netherlands lives and works in The Hague.," Queen Beatrix is the monarch of the Netherlands. | True |
 Queen Beatrix resides in The Hague. | True |
 The Hague is where Queen Beatrix carries out her official duties. | True",
'in the florida everglades a of trees were knocked down by the storm.' Provide only the simplified text as the response.,"In the Florida Everglades, many trees were knocked down by the storm."," Location: Florida Everglades | True |
 Event: Trees were knocked down | True |
 Cause: Storm | True",
'the color of the stripes from the top down follows the sequence white red blue white red blue white red.' Provide only the simplified text as the response.,"The stripes go in the order: white, red, blue, white, red, blue, white, red."," The stripes are in the order of white, red, blue. | False |
 The pattern repeats with white, red, blue. | True |
 The sequence of stripes is white, red, blue, white, red, blue, white, red. | True"," The stripes are in the order of white, red, blue."
'in three phyla and one subclass of animals endoskeletons of various complexity are found chordata echinodermata porifera and coleoidea.' Provide only the simplified text as the response.,"Endoskeletons of varying complexity are found in three phyla of animals: Chordata, Echinodermata, and Coleoidea."," Endoskeletons are found in animals. | True |
 Endoskeletons can vary in complexity. | True |
 Endoskeletons are found in three phyla of animals: Chordata, Echinodermata, and Coleoidea. | False"," Endoskeletons are found in three phyla of animals: Chordata, Echinodermata, and Coleoidea."
'he also owns a cello made of carbon fiber by the luis and clark company of boston.' Provide only the simplified text as the response.,He also has a carbon fiber cello made by Luis and Clark in Boston.," The person mentioned in the passage owns a carbon fiber cello. | True |
 The carbon fiber cello was made by Luis and Clark in Boston. | True",
'sean beavan who mixed antichrist superstar mechanical animals and eat me drink me is co producer of the album along with chris vrenna.' Provide only the simplified text as the response.,"Sean Beavan, who mixed ""Antichrist Superstar,"" ""Mechanical Animals,"" and ""Eat Me, Drink Me,"" is a co-producer of the album with Chris Vrenna."," Sean Beavan mixed ""Antichrist Superstar,"" ""Mechanical Animals,"" and ""Eat Me, Drink Me."" | True |
 Sean Beavan is a co-producer of the album. | True |
 Chris Vrenna is also a co-producer of the album. | True",
'irenaeus in against heresies notes the gnostic view that the ascension happened eighteen months after the resurrection.' Provide only the simplified text as the response.,Irenaeus wrote in Against Heresies that the Gnostics believed the ascension occurred eighteen months after the resurrection.," Irenaeus wrote in Against Heresies. | True |
 The Gnostics believed in the ascension. | True |
 The ascension was believed to have occurred eighteen months after the resurrection. | True",
'the court meets in washington d.c. in the united states supreme court building and consists of a chief justice and eight associate justices who are nominated by the president and confirmed by the senate.' Provide only the simplified text as the response.,The Supreme Court meets in Washington D.C. at the Supreme Court building. It has a chief justice and eight associate justices who are nominated by the president and confirmed by the Senate.," The Supreme Court meets in Washington D.C. | True |
 The Supreme Court building is located in Washington D.C. | True |
 The Supreme Court consists of a chief justice and eight associate justices. | True |
 The chief justice and associate justices are nominated by the president. | True |
 The nominations of the chief justice and associate justices must be confirmed by the Senate. | True",
'craig chad leo stansberry lrb born march in dammam saudi arabia rrb is a major league baseball third baseman who is currently in the san diego padres organization.' Provide only the simplified text as the response.,"Craig Stansberry, born in Dammam, Saudi Arabia, is a third baseman in the San Diego Padres organization."," Craig Stansberry was born in Dammam, Saudi Arabia. | True |
 Craig Stansberry is a third baseman. | True |
 Craig Stansberry is part of the San Diego Padres organization. | True",
'many secular jews attend synagogue on yom kippur for many secular jews the high holidays are the only recurring times of the year in which they attend synagogue causing synagogue attendance to soar and almost four fifths fast.' Provide only the simplified text as the response.,"Many secular Jews attend synagogue on Yom Kippur, as it is one of the few times they go throughout the year. This leads to a significant increase in synagogue attendance, with almost four-fifths fasting."," Secular Jews attend synagogue on Yom Kippur. | True |
 Yom Kippur is one of the few times secular Jews go to synagogue throughout the year. | True |
 There is a significant increase in synagogue attendance on Yom Kippur. | True |
 Almost four-fifths of those attending synagogue on Yom Kippur fast. | True",
'the f hrerbunker was located about. metres beneath the garden of the old reich chancellery building at wilhelmstra e about metres north of the new reich chancellery building which had the address vo stra e.' Provide only the simplified text as the response.,"The Führerbunker was located meters below the garden of the old Reich Chancellery building on Wilhelmstrasse, about meters north of the new Reich Chancellery building on Vossstrasse."," The Führerbunker was located meters below the garden of the old Reich Chancellery building on Wilhelmstrasse. | True |
 The Führerbunker was about meters north of the new Reich Chancellery building on Vossstrasse. | True",
